"","X","Y","month","day","FFMC","DMC","DC","ISI","temp","RH","wind","rain","area","log_area"
"1",7,5,"mar","fri",86.2,26.2,94.3,5.1,8.2,51,6.7,0,0,0
"2",7,4,"oct","tue",90.6,35.4,669.1,6.7,18,33,0.9,0,0,0
"3",7,4,"oct","sat",90.6,43.7,686.9,6.7,14.6,33,1.3,0,0,0
"5",8,6,"mar","sun",89.3,51.3,102.2,9.6,11.4,99,1.8,0,0,0
"6",8,6,"aug","sun",92.3,85.3,488,14.7,22.2,29,5.4,0,0,0
"7",8,6,"aug","mon",92.3,88.9,495.6,8.5,24.1,27,3.1,0,0,0
"9",8,6,"sep","tue",91,129.5,692.6,7,13.1,63,5.4,0,0,0
"10",7,5,"sep","sat",92.5,88,698.6,7.1,22.8,40,4,0,0,0
"11",7,5,"sep","sat",92.5,88,698.6,7.1,17.8,51,7.2,0,0,0
"12",7,5,"sep","sat",92.8,73.2,713,22.6,19.3,38,4,0,0,0
"13",6,5,"aug","fri",63.5,70.8,665.3,0.8,17,72,6.7,0,0,0
"14",6,5,"sep","mon",90.9,126.5,686.5,7,21.3,42,2.2,0,0,0
"15",6,5,"sep","wed",92.9,133.3,699.6,9.2,26.4,21,4.5,0,0,0
"16",6,5,"sep","fri",93.3,141.2,713.9,13.9,22.9,44,5.4,0,0,0
"17",5,5,"mar","sat",91.7,35.8,80.8,7.8,15.1,27,5.4,0,0,0
"19",6,4,"mar","wed",89.2,27.9,70.8,6.3,15.9,35,4,0,0,0
"20",6,4,"apr","sat",86.3,27.4,97.1,5.1,9.3,44,4.5,0,0,0
"21",6,4,"sep","tue",91,129.5,692.6,7,18.3,40,2.7,0,0,0
"23",7,4,"jun","sun",94.3,96.3,200,56.1,21,44,4.5,0,0,0
"24",7,4,"aug","sat",90.2,110.9,537.4,6.2,19.5,43,5.8,0,0,0
"25",7,4,"aug","sat",93.5,139.4,594.2,20.3,23.7,32,5.8,0,0,0
"26",7,4,"aug","sun",91.4,142.4,601.4,10.6,16.3,60,5.4,0,0,0
"27",7,4,"sep","fri",92.4,117.9,668,12.2,19,34,5.8,0,0,0
"28",7,4,"sep","mon",90.9,126.5,686.5,7,19.4,48,1.3,0,0,0
"29",6,3,"sep","sat",93.4,145.4,721.4,8.1,30.2,24,2.7,0,0,0
"30",6,3,"sep","sun",93.5,149.3,728.6,8.1,22.8,39,3.6,0,0,0
"31",6,3,"sep","fri",94.3,85.1,692.3,15.9,25.4,24,3.6,0,0,0
"33",6,3,"sep","fri",88.6,69.7,706.8,5.8,20.6,37,1.8,0,0,0
"34",6,3,"sep","sun",91.7,75.6,718.3,7.8,17.7,39,3.6,0,0,0
"35",6,3,"sep","mon",91.8,78.5,724.3,9.2,21.2,32,2.7,0,0,0
"37",6,3,"oct","tue",90.6,35.4,669.1,6.7,21.7,24,4.5,0,0,0
"38",7,4,"oct","fri",90,41.5,682.6,8.7,11.3,60,5.4,0,0,0
"39",7,3,"oct","sat",90.6,43.7,686.9,6.7,17.8,27,4,0,0,0
"40",4,4,"mar","tue",88.1,25.7,67.6,3.8,14.1,43,2.7,0,0,0
"41",4,4,"jul","tue",79.5,60.6,366.7,1.5,23.3,37,3.1,0,0,0
"42",4,4,"aug","sat",90.2,96.9,624.2,8.9,18.4,42,6.7,0,0,0
"43",4,4,"aug","tue",94.8,108.3,647.1,17,16.6,54,5.4,0,0,0
"44",4,4,"sep","sat",92.5,88,698.6,7.1,19.6,48,2.7,0,0,0
"45",4,4,"sep","wed",90.1,82.9,735.7,6.2,12.9,74,4.9,0,0,0
"47",5,6,"sep","mon",90.9,126.5,686.5,7,14.7,70,3.6,0,0,0
"48",6,6,"jul","mon",94.2,62.3,442.9,11,23,36,3.1,0,0,0
"49",4,4,"mar","mon",87.2,23.9,64.7,4.1,11.8,35,1.8,0,0,0
"51",4,4,"sep","thu",92.9,137,706.4,9.2,20.8,17,1.3,0,0,0
"52",4,3,"aug","sun",90.2,99.6,631.2,6.3,21.5,34,2.2,0,0,0
"53",4,3,"aug","wed",92.1,111.2,654.1,9.6,20.4,42,4.9,0,0,0
"54",4,3,"aug","wed",92.1,111.2,654.1,9.6,20.4,42,4.9,0,0,0
"55",4,3,"aug","thu",91.7,114.3,661.3,6.3,17.6,45,3.6,0,0,0
"56",4,3,"sep","thu",92.9,137,706.4,9.2,27.7,24,2.2,0,0,0
"57",4,3,"sep","tue",90.3,80.7,730.2,6.3,17.8,63,4.9,0,0,0
"58",4,3,"oct","sun",92.6,46.5,691.8,8.8,13.8,50,2.7,0,0,0
"59",2,2,"feb","mon",84,9.3,34,2.1,13.9,40,5.4,0,0,0
"61",2,2,"mar","sun",89.3,51.3,102.2,9.6,11.5,39,5.8,0,0,0
"62",2,2,"mar","sun",89.3,51.3,102.2,9.6,5.5,59,6.3,0,0,0
"63",2,2,"aug","thu",93,75.3,466.6,7.7,18.8,35,4.9,0,0,0
"65",2,2,"aug","mon",91.1,103.2,638.8,5.8,23.1,31,3.1,0,0,0
"66",2,2,"aug","thu",91.7,114.3,661.3,6.3,18.6,44,4.5,0,0,0
"67",2,2,"sep","fri",92.4,117.9,668,12.2,23,37,4.5,0,0,0
"68",2,2,"sep","fri",92.4,117.9,668,12.2,19.6,33,5.4,0,0,0
"69",2,2,"sep","fri",92.4,117.9,668,12.2,19.6,33,6.3,0,0,0
"70",4,5,"mar","fri",91.7,33.3,77.5,9,17.2,26,4.5,0,0,0
"71",4,5,"mar","fri",91.2,48.3,97.8,12.5,15.8,27,7.6,0,0,0
